pnah,0.36613864,33762391
qtxw,0.39585015,60587769
raqo,0.543231,23440250
mxdw,0.31167108,85452122
dxej,0.3942448,48600858
rebu,0.16716401,22830024
flge,0.47196826,70044676
dxnh,0.5098612,02593271
ddfn,0.26070505,13227978
mmhw,0.3646067,85869281
apnn,0.42675567,09634064
avsu,0.5513181,06858023
urmi,0.5122006,46735596
vzqu,0.40959698,28082712
ivdl,0.26723647,56457158
euah,0.33175376,24381638
cyph,0.42964268,61279250
rfrr,0.4919628,43903040
qgdz,0.38768268,28168138
nlxm,0.44851148,09297532
wuae,0.4463333,60439715
ozwr,0.46505648,09182036
pcws,0.45663,15790509
jxxx,0.27820694,78391361
ejnv,0.43600368,84475338
buyu,0.39447573,79274941
dxrv,0.42350483,72975937
hbsx,0.4679975,33222400
skkt,0.32019675,40931132
jmus,0.35660744,32275744
jlgt,0.4557134,28617900
novg,0.54226136,45798111
sygo,0.2557054,48360636
byar,0.41677174,77139609
nhst,0.37876698,44989116
lylc,0.4355819,93428150
lagh,0.38746125,16867178
gjxg,0.45518324,51378372
ekzp,0.39992845,32209796
vgym,0.27416164,91566021
ouvc,0.39568314,49594999
cdlt,0.39525995,19306494
nbez,0.25952408,33140735
ljkz,0.33443654,62639003
flzg,0.49339575,25660647
eyft,0.32407624,60142542
krhi,0.42517436,12770714
ivnt,0.41339236,34562449
fjvq,0.40920782,70404791
vzrz,0.46172383,85115966
ygxk,0.25351533,48307516
hykr,0.29276398,00552278
kxqv,0.37332875,57900254
hsvm,0.32285458,91479148
taml,0.31754112,62641888
wqpk,0.26274508,59611722
kbbm,0.4033628,73138452
yxuu,0.37516135,36536397
cipk,0.5307464,59333168
kfme,0.26048326,46152853
ezvj,0.40686274,53881769
xtub,0.52152276,13976502
dzzo,0.49198443,43519590
hrrk,0.5323161,19658046
lrrg,0.5218786,06821241
gnxh,0.36847842,42292154
ftjf,0.42824417,61579384
pliw,0.4684972,75240287
nvfv,0.42832473,92408786
euin,0.41790402,05301774
efpp,0.4258656,61985037
ogxh,0.353235,02383374
luym,0.37388557,42410161
ktfu,0.51214814,42480849
dtbd,0.4061902,12167486
bofs,0.38425517,72693603
avan,0.50816727,26353495
yjnn,0.27855247,83399891
ilap,0.5028467,30199244
xgql,0.5389057,15856628
rwxv,0.32729235,75925288
abhi,0.41106683,19549256
lrrp,0.44675675,13649024
fhpe,0.41757402,82979271
toma,0.45518035,68284355
lgnp,0.49492458,01789204
yuzu,0.2544335,12998542
jyfh,0.27670905,24381638
mfng,0.4081903,17562966
pkyx,0.5333414,41669925
wsok,0.40147483,95508637
cjvv,0.55325085,36608114
ctwg,0.3242686,93222190
fjem,0.4307353,05863642
wsbk,0.29981655,31130680
tirc,0.3897034,22135811
givs,0.38659266,72201157
oefi,0.28511006,07942944
gfjh,0.39295268,33353176
wdso,0.4893118,05534860
oqwo,0.40355313,75414238
gtzk,0.54775834,24147148
oxpe,0.44079393,47921207
axpm,0.53386545,48267826
gzjf,0.2930953,12245371
clgj,0.2447303,49281809
hetv,0.37480885,99034048
bzev,0.33193216,33368668
cszr,0.5461925,23511763
xbth,0.43278992,34237275
nxwn,0.38829723,97857987
jxne,0.29556528,25879950
sugv,0.35052133,90282171
nvma,0.41406986,25906276
yatc,0.2295809,14744662
hpvk,0.47675842,79694815
cexi,0.17675261,76113862
rgzi,0.3332663,93605447
eusr,0.3867628,33712980
vnfl,0.55434823,36001861
xsxv,0.4358848,51284279
auxl,0.34509903,75071043
vyhn,0.368167,81485571
cthi,0.33011028,33316930
rwsu,0.56476516,42358174
vhrj,0.34598273,73175556
yhoh,0.37553596,13213110
uegk,0.4693197,78090960
huma,0.44696707,43348499
usgd,0.35995537,34935384
shat,0.36369175,63656177
hjmd,0.2721036,60115958
dlkq,0.43964916,48220419
dwoj,0.39526683,84870241
apjt,0.37211043,25924191
qhkt,0.26258516,25874682
omst,0.25169757,59502547
qbek,0.40779877,98085178
nlyc,0.5872185,53527871
tkhc,0.40453845,20860374
fzio,0.45761538,48826078
dije,0.48954287,73215324
sure,0.4765414,96211533
fwzs,0.2765265,15259474
yhrb,0.5116476,08747493
npkj,0.5097481,44505911
uqef,0.39505392,45142137
fush,0.46048915,17575048
kpas,0.40698647,45789823
rprf,0.22384337,83266773
opwf,0.40410292,11795656
gpsa,0.59900063,67601210
giqr,0.36812964,08544758
qjwj,0.23482797,95122294
gmmf,0.26075524,05358895
wird,0.633573,36385449
owha,0.38251698,30593455
wtqz,0.34987757,72290617
yods,0.30372074,95752335
shnh,0.53924066,25148227
ygfv,0.19335362,11792099
ddts,0.32370272,10775167
vwhc,0.6139895,88520618
hdqn,0.7053064,25459828
khxg,0.44215387,63417944
nhxi,0.34684968,94733939
fdsh,0.36694786,44780252
tuml,0.35132948,93776223
wdqv,0.4105001,23071335
tlpq,0.4446925,61454377
furv,0.3498919,96577557
kbie,0.3539921,73869616
nkhe,0.30920002,36236720
otou,0.55461687,06026296
blym,0.4425889,38645763
vjin,0.46053874,11645453
gvua,0.30152744,40341185
mzrm,0.48619485,92869943
ushp,0.5287943,86853232
fijs,0.32096034,98866646
akqt,0.4108265,41314419
virg,0.3102021,18571749
icrn,0.5197781,30526280
vubh,0.3087688,60377671
